ID_ViThuoc,TenVietNam,TenGoiKhac,TenKhoaHoc,HoThucVat,CongDung,LieuDung,TinhVi,QuyKinh
1,Ích Mẫu,"ích mẫu thảo, sung úy, chói đèn",Leonurus heterophyllus Sw.,Lamiaceae (Hoa môi),"Trục ứ huyết, sinh huyết mới, hoạt huyết điều kinh, chữa rong huyết sau sinh, kinh nguyệt quá nhiều, huyết áp cao.",6-12g/ngày (dạng thuốc sắc hoặc cao).,"Vị cay, đắng, tính hơi hàn.",(Không ghi rõ)
2,Hương Phụ,"củ gấu, cỏ gấu, cỏ cú",Cyperus rotundus L.,Cyperaceae (Cói),"Lý khí, giải uất, điều kinh, chỉ thống (giảm đau), chữa kinh nguyệt không đều, đau bụng kinh, đau dạ dày do thần kinh.","6-12g/ngày (dạng thuốc sắc, bột, viên, rượu).","Vị cay, hơi đắng, ngọt.","Can, Tam tiêu."
3,Ngải Cứu,"cây thuốc cứu, cây thuốc cao, ngài điệp",Artemisia vulgaris L.,Asteraceae (Cúc),"Ôn khí huyết, trục hàn thấp, điều kinh, an thai, chữa đau bụng do hàn, kinh nguyệt không đều, thai động không yên.",6-12g/ngày (tối đa 20g) dưới dạng thuốc sắc hoặc hãm.,"Vị cay, tính hơi ôn.",(Không ghi rõ)
4,Bạch Đồng Nữ,"bần trắng, vậy trắng, mấn trắng, mộ trắng",Clerodendron fragrans Vent.,Verbenaceae (Cỏ roi ngựa),"Chữa bệnh khí hư, bạch đới. Chữa vàng da và niêm mạc. Dùng ngoài tắm ghẻ, mụn nhọt, rửa chốc đầu .",15-20g lá khô sắc uống.,(Không ghi rõ),(Không ghi rõ)
5,Cây Diếp Cá,"cây lá giấp, ngư tinh thảo",Houttuynia cordata Thunb.,Saururaceae (Lá giấp),"Tán nhiệt, tiêu ung thũng, dùng chữa phế ung, trĩ, vết lở loét, thông tiểu, mụn nhọt, kinh nguyệt không đều.","6-12g/ngày (sắc, bột viên).","Cay, hơi lạnh, hơi có độc.",Phế kinh.
6,Cây Hồng Hoa,cây rum,Carthamus tinctorius L.,Asteraceae (Cúc),"Phá ứ huyết, sinh huyết mới, chữa kinh nguyệt bế tắc, sản hậu ứ huyết, thai chết trong bụng, giải nhiệt ra mồ hôi .",3-8g/ngày (dạng thuốc sắc hay ngâm rượu).,"Vị cay, ẩm.","Tâm, Can."
7,Cây Gai,trữ ma,Boehmeria nivea (L) Gaud.,Urticaceae (Gai),"An thai, chữa sa dạ con, lợi tiểu, chữa tiểu tiện đục, đi tiểu ra máu, viêm tử cung, lòi dom không co lên được.",10-30g rễ sắc với nước uống.,"Ngọt, hàn, không độc.",(Không ghi rõ)
8,Cây Hoa Cứt Lợn,"cây hoa ngũ sắc, cây hoa ngũ vị, cỏ hôi",Ageratum conyzoides L.,Asteraceae (Cúc),"Chữa rong huyết sau khi sinh nở, chữa viêm xoang mũi dị ứng. Phối hợp với bồ kết nấu nước gội đầu.",30-50g cây tươi/ngày (uống). Dùng ngoài giã nát vắt lấy nước.,(Không ghi rõ),(Không ghi rõ)
9,Bán Hạ,"Củ chóc, lá ba chìa, nam tinh",Typhonium divaricatum Decne.,Araceae (Ráy),"Chữa nôn mửa, ho có đờm, hen suyễn, nhức đầu . Dùng ngoài tiêu thũng.",4-12g (đã chế biến). Dùng ngoài tùy liều.,"Vị cay, ôn, có độc.",(Không ghi rõ)
10,Vỏ rễ cây Bông,(Không có),Gossypium sp.,Malvaceae (Bông),"Cầm máu tử cung, điều kinh, gây co bóp tử cung .",3-5g dưới dạng sắc.,(Không ghi rõ),(Không ghi rõ)
11,Hạt Bông,(Không có),Gossypium sp.,Malvaceae (Bông),Lợi sữa.,5g dưới dạng thuốc sắc.,(Không ghi rõ),(Không ghi rõ)
12,Cây Ngưu Tất,"cây cỏ xước, hoài ngưu tất",Achyranthes bidentata Blume.,Amaranthaceae (Giền),"Phá huyết, hành ứ (dùng sống); bổ can thận, mạnh gân cốt (chế biến). Chữa viêm khớp, đau bụng, kinh nguyệt khó khăn.",3-9g dưới dạng thuốc sắc.,"Vị chua, đắng, bình, không độc.","Can, Thận."
13,Cây Tô Mộc,"cây gỗ vang, cây vang nhuộm, tô phượng",Caesalpinia sappan L.,Caesalpiniaceae (Vang),"Hành huyết, thông lạc, khứ ứ, chỉ thống. Chữa tử cung chảy máu, đẻ mất máu nhiều, lỵ ra máu, kinh nguyệt bế tắc.",6-12g dưới dạng thuốc sắc.,"Vị ngọt, bình, không độc.","Tâm, Can, Tỳ."
14,Cây Rau Ngót,"bồ ngót, bù ngót, hắc diện thần",Sauropus androgynus (L) Merr.,Euphorbiaceae (Thầu dầu),"Chữa sót nhau, chữa tưa lưỡi, chữa chậm kinh.",40g lá tươi (chữa sót nhau); 5-10g lá tươi (chữa tưa lưỡi).,(Không ghi rõ),(Không ghi rõ)
